Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
                Huntington Bancshares Inc/OH,27272.758,28491.954,27454.237,26800.599,25305.157,21863.071,23233.03,24085.623,23422.548,23305.782,24376.76,25151.281,28459.611,25653.821,22915.057,19374.739,16485.358,14806.766,13297.412,14622.113,14148.686,14286.328,13694.518,13982.368,13780.338,13727.005,14070.288,14607.128,14888.262,14870.042,14802.834,15620.977,15015.133,15978.294,9319.287,8985.921,8442.655,10762.45,9922.776,9590.628,9053.11,8390.482,8159.977,7431.638,6987.762,6129.219,6499.486,7192.9,7258.104,7477.104,8370.744,8618.43,7791.499,8403.25,7796.055,9013.977,9586.522,9413.416,8498.804,
                JPMorgan Chase & Co,406852,334548,266252,236152,201704,197119,203262,197248,205857,188140,222069,312875,308525,251590,232161,379942,388178,389583,485883,399868,350622,353347,276283,236441,230319,199955,201934,209086,202166,216151,215640,232879,238785,220282,224693,237338,241471,256073,265772,280849,297649,316224,312659,303068,328936,351093,353131,363358,368362,362358,351592,378687,361764,334363,319865,331295,312671,337277,309754,
                KeyCorp,37706.59,34169.269,37459.909,37297.712,37185.498,35839.08,37907.577,39497.7,39116.716,39999.857,42436.595,43681.494,45364.342,40593.675,34638.347,33922.41,27556.113,27895.147,23599.77,20807.178,21842.433,22377.811,21528.103,20853.654,19427.601,18341.286,17367.366,17888.143,18139.146,19011.438,18023.704,18431.187,20211.652,20540.104,14551.664,14303.572,14217.891,14375.946,14243.868,13120.127,13359.713,12244.438,12223.947,12358.523,12346.38,12606.062,13252.933,13496.346,12094.467,11961.9,13204.935,14632.751,16011.961,17611.56,18680.002,19447.975,21932.718,21240.621,19772.618,
                M&T Bank Corp,18849.29,16726.683,13891.665,12133.781,10440.198,10592.409,10807.659,11038.922,10748.961,10870.346,8704.955,5705.199,3955.804,3618.106,3959.783,4364.437,4822.606,5302.338,5821.274,6139.979,6318.776,6985.417,7380.34,8325.584,8682.509,9154.515,9658.846,10297.856,10896.284,11416.087,11928.115,12630.218,13331.365,11861.862,11918.263,12199.952,12241.965,11158.789,11250.117,10702.991,9156.382,9383.487,8008.26,6191.042,4531.26,4690.431,3083.337,4398.912,4737.643,5181.986,5532.018,5836.028,6226.591,5633.51,4888.007,4853.067,5411.569,5781.214,6147.808,
                PNC Financial Services Group I,,60338.084,51188.115,42280.438,41784.665,40589.587,41787.434,43220.362,44158.53,45798.491,52983.625,112313.33,131535.696,124126.672,125057.928,96798.66,87357.81,89746.776,97052.443,89077.625,69163.374,69056.741,69354.886,65051.339,63388.987,61210.693,60275.189,56017.979,57617.582,57253.997,58878.266,59339.457,60104.421,61940.88,56883.609,57414.994,55759.185,53662.848,47679.004,47579.477,44234.612,43620.059,44518.632,47483.173,48607.729,45761.396,47898.913,49536.306,51052.209,52132.463,51251.515,53357.637,48568.536,49715.022,49667.368,54526.4,57310.457,56049.715,45849.725,
                Regions Financial Corp,,28698,28537,27881,28104,26228,27296,28230,27933,28126,29052,29384,28481,28986,29290,27091,27154,27007,23898,23775,22606,22986,22699,23786,22729.215,22670.541,22934.582,23084.874,23628.285,23659.108,23607.451,23520.602,23781.337,23859.106,23493.513,23095.208,22710.134,22033.95,22044.691,22375.047,22052.868,21884.885,21469.497,21108.322,20946.532,21067.976,21393.337,26537.907,26686.77,27022.957,26617.105,26475.855,23770.087,23892.232,23027.571,23812.307,22398.448,22641.306,23216.971,49541.571
                Truist Financial Corp,67464,64111,55969,66050,67366,65117,68965,71858,71801,72978,79278,84753,153123,151038,139879,123807,120788,86132,77805,78398,74727,35997,25802,26315,25038,24286,23919,25017,24547,23184,26899,26667.681,26925.701,29448.833,28243.618,27129.023,25297.185,24249.216,21183.438,21674.492,20907.065,21174.351,20936.341,20496.466,22104.164,22864.438,24477.002,24169.901,25137.421,24098.17,25066.716,24380.263,22313.654,24649.133,19408.678,17886.592,23169.777,24496.759,23661.855,23254.157
                US Bancorp,85992,81704,79799,72426,69706,67207,69221,65491,72910,68523,98806,123593,132963,149376,160288,156003,136840,134032,128120,123681,122613,74598,69197,68113,66115,64912,66347,67125,68137,67772,67455,67031,66284,67155,66490,64912,61997,60396,57078,56826,56069,52674,48389,44761,40935,39307,40307,40570,40139,39636,39313,52749,51937,52109,52299,52248,51509,48406,47777,
                Wells Fargo & Co,162978,166004,148752,138245,130448,126437,134251,144398,113594,115835,125832,168436,177244,185556,189897,200850,220392,220573,228899,251229,263459,271236,265983,268099,269912,262964,265687,271656,278086,272723,270165,300653,309154,293434,259510,260539,267820,266882,260875,257895,257956,249450,249756,253369,252683,259874,249439,248160,235199,229350,226846,230266,222613,207176,186298,167906,172654,176875,157931,
                Western Alliance Bancorp,13468.288,14749.968,15681.273,14508.793,11164.917,9688.745,8630.758,7645.472,7092.418,6960.324,7267.645,6852.195,6188.816,6383.608,6615.202,6939.939,4708.511,3975.225,3516.922,3676.651,3346.31,3512.828,3253.094,3244.247,3276.988,3107.076,3199.015,3261.298,3499.519,3552.844,3084.658,2700.011,2609.38,2659.182,2165.539,2012.82,1982.523,1932.98,1478.234,1399.428,1520.237,1570.062,1578.679,1367.284,1373.328,1078.062,988.138,1006.981,940.254,1049.903,1110.759,1131.491,1197.728,1124.464,1048.55,1260.842,1210.646,873.17,803.347,
                Zions Bancorp NA,,,9483,9930.847,10300.38,10147.437,10831.844,11594.138,11914.977,23233.136,25297.168,26145.45,24048.122,20461.118,18170.404,16643.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
