Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
            Huntington Bancshares Inc/OH,204230.284,200535.359,196310.177,193518.785,189368.216,186649.799,188504.626,189070.312,182906.272,179402.155,178782.402,176855.518,174064.229,173878.184,175172.057,125767.695,123037.648,120116.074,118424.506,113897.248,109001.821,108735.233,108247.199,108203.287,108781.444,105652.344,105358.398,104246.668,104184.505,101988.125,101406.779,100045.506,99714.097,100765.412,73954.016,72644.967,71044.551,70210.178,68845.648,68002.661,66298.01,64330.629,63797.113,61145.753,59476.344,56648.251,56113.687,56054.966,56153.185,56443,56622.959,55876.654,54450.652,54978.707,53050.039,52948.51,53801.954,53247.308,51771.443,20299.176
            JPMorgan Chase & Co,4002814,4210048,4143003,4090727,3875393,3898333,3868240,3744305,3665743,3773884,3841314,3954687,3743567,3757576,3684256,3689336,3386071,3246923,3214218,3140887,2687379,2764661,2727379,2737188,2622532,2615183,2590050,2609785,2533600,2563074,2563174,2546290,2490972,2521029,2466096,2423808,2351698,2417121,2447994,2577148,2572773,2527005,2520336,2476986,2415689,2463309,2439494,2389349,2359141,2321284,2290146,2320164,2265792,2289240,2246764,2198161,2117605,2141595,2014019,
            KeyCorp,187184.01,189766.107,187474.662,187530.705,188368.904,187994.715,195213.563,197621.763,189915.515,190232.45,187227.649,181472.726,186455.921,187198.237,181526.852,176336.182,171371.23,171342.434,172038.748,157003.466,145569.632,147321.059,145121.356,141953.655,140037.79,139184.992,138164.802,137485.732,138064.055,137129.912,136362.224,134972.587,136825.848,136228.389,101406.977,98570.702,95270.648,95476.859,94674.55,94296.497,93882.115,89884.477,91934.784,90928.218,92991.716,91016.413,90858.779,89441.21,89425.613,87302.272,86741.424,87569.856,88762.571,89405.605,88858.6,90311.402,91718.216,94073.954,94286.771,
            M&T Bank Corp,208104.916,211784.994,208854.501,215136.712,208263.598,209124.316,207671.729,202956.407,200729.841,197955.479,204032.889,149825.907,155072.103,151866.238,150589.668,150481.06,142601.105,138626.743,139536.969,124577.833,119872.757,125500.926,121554.895,120025.205,120097.403,116827.637,118426.053,118622.824,118593.487,120401.804,120896.567,123223.251,123449.206,126841.028,123820.584,124625.632,122787.884,97797.062,97080.076,98379.397,96687.224,97230.366,90835.002,88530.36,85162.391,84427.485,83229.005,82811.957,83008.803,81085.233,80807.578,79186.887,77924.287,77863.891,77727.154,67881.208,68021.263,68246.837,68153.616,42446.03
            PNC Financial Services Group I,,,556539.109,566181.447,561599.813,557355.743,558222.918,561825.217,557293.582,559495.699,541012.603,541469.014,557251.076,554456.689,554775.84,474509.295,466864.739,461914.327,459038.463,445567.546,410373.281,409007.227,405855.135,392853.923,382334.643,380275.666,380796.207,379753.923,381450.622,375255.765,372356.961,371278.327,366872.249,369441.905,361528.406,361187.04,358690.085,362137.164,354201.925,351162.105,345243.081,334602.342,327251.474,323586.973,320596.232,308912.603,304547.667,300945.933,305285.879,301077.311,299712.018,296119.07,271407.158,269555.466,263259.894,259500.612,264414.112,260174.102,261769.262,
            Regions Financial Corp,,157740,154396,155227,152632,154218,155878,154296,155628,157943,160952,164366,163445,156405,155754,153506,147598,145447,144373,133638,126633,128436,127871,129089,125767.146,124821.814,124789.25,123041.692,124584.404,123518.484,124778.399,124739.162,126193.957,125307.103,126378.482,125747.379,126234.344,124891.54,121967.042,122515.877,119888.669,119301.813,119013.705,118136.516,117661.732,116937.255,118782.563,119717.632,121347.388,121797.804,122344.664,128281.787,127049.907,129761.507,130907.84,131798.824,132399.29,133554.896,135392.66,
            Truist Financial Corp,531176,523434,519853,534959,535367,542966,554549,574549,555255,548438,545292,543979,541241,529884,521964,517537,509228,499183,504336,506229,473078,236750,230872,227683,225697,222885,222681,220729,221642,220340,221192,220500.518,219276.323,222622.299,221858.615,212405.266,209947.022,208808.671,191017.482,189227.838,186813.987,187021.509,188012.33,184651.158,183009.992,181050.008,182735.153,180836.757,183872.371,182021.371,178529.372,174751.894,174579.294,167676.889,159309.671,157039.118,157081.396,157230.367,155083.058,
            US Bancorp,678318,686469,680058,683606,663491,668039,680825,682377,674805,600973,591381,586517,573284,567495,558886,553375,553905,540455,546652,542909,495426,487671,481719,475775,467374,464607,461329,460119,462040,459227,463844,449522,445964,454134,438463,428638,421853,415943,419075,410233,402529,391284,389065,371289,364021,360681,353415,355447,353855,352253,353136,340762,340122,330141,320874,311462,307786,290654,283243,
            Wells Fargo & Co,1929845,1922125,1940074,1959160,1932472,1909261,1876322,1886400,1881016,1877745,1881142,1939709,1948068,1954901,1945996,1959543,1955163,1922220,1968766,1981349,1927555,1943950,1923388,1887792,1895883,1872981,1879700,1915388,1951757,1934939,1930871,1951564,1930115,1942124,1889235,1849182,1787632,1751265,1720617,1737737,1687155,1636855,1598874,1546707,1527015,1488055,1440563,1436634,1422968,1374715,1336204,1333799,1313867,1304945,1259734,1244666,1258128,1220784,1225862,265432.977
            Western Alliance Bancorp,80934.241,80079.522,80581.017,76989.391,70862.471,70890.925,68159.684,71047.202,67733.92,69164.937,66055.336,60576.061,55982.635,52775.07,49068.997,43397.016,36461.042,33335.506,31906.396,29158.227,26821.948,26324.245,25314.785,23792.846,23109.486,22176.147,21367.452,20760.731,20329.085,19922.221,18844.745,18122.506,17200.842,17042.602,16728.767,15248.039,14275.089,13955.57,13470.104,11251.943,10600.498,10288.824,10023.587,9746.624,9307.095,8921.429,8593.684,8174.104,7622.637,7403.603,7163.572,6925.292,6844.541,6545.89,6508.089,6404.836,6193.883,6179.146,5959.479,137287.286
            Zions Bancorp NA,,,87605.789,87060.372,87202.697,87269.125,87230.273,88573.533,89544.919,88474.569,87783.903,91125.751,93199.669,88306.256,87208.406,85120.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
