Description,Ticker,Data State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
            Flagstar Financial Inc,FLG US Equity,Dynamic,46353.346,50887.242,48767.777,41537.503,39189.919,38467.042,37312.927,35852.653,35073.783,34167.83,31763.453,28451.682,26472.289,24783.41,22872.548,22382.437,21051.75,19024.379,14530.639,12858.008,9840.655,7369.179,4494.332,3255.167,1449.587,1348.352,1239.094,1107.374,822.364,641.564,561.59,428.846,
            Huntington Bancshares Inc/OH,HBAN US Equity,Dynamic,18774.51,19385.839,20364.303,19960.984,10444.623,9877.743,10177.215,10866.85,11651.493,7767.106,8335.243,7978.785,8226.632,8776.305,9521.308,11030.936,13017.208,11901.017,290.549,259.326,275.221,246.71,247.326,303.409,270.826,235.294,243.18,176.678,152.488,173.459,164.351,215.626,71.094
            JPMorgan Chase & Co,JPM US Equity,Dynamic,168719,168856,132146,125401,125406,123660,119257,116556,109802,94599,82706,76243,70044,62788,60099,63593,66974,25519,850,841,1122,95,135,431,465,439.026,193.675,305.311,,,,,
            KeyCorp,KEY US Equity,Dynamic,16868.038,18635.827,19308.708,17250.733,15687.643,15822.851,16844.61,16945.518,18480.881,9544.565,9786.335,9120.226,9201.919,9957.371,11766.29,15468.002,18977.99,18987.849,852.417,776.268,687.157,549.019,652.255,502.726,396.858,535.873,456.815,748.812,662.741,597.523,487.914,212.407,291.933
            M&T Bank Corp,MTB US Equity,Dynamic,36455.898,41547.083,44453.166,34929.208,37630.674,35584.687,34372.127,33327.798,33437.82,29151.565,27431.888,26149.42,25968.676,24398.914,21166.437,20791.111,18793.843,17822.552,1939.204,2068.932,2272.382,2122.044,2169.224,2271.124,2385.051,2079.177,1711.179,1714.017,1626.438,1520.971,1422.189,1267.446,1066.121
            PNC Financial Services Group I,PNC US Equity,Dynamic,,45186.357,47064.612,46377.954,36285.338,35486.482,34826.437,36602.247,37113.677,35628.312,33698.7,32668.51,31317.608,26980.107,28246.83,33979.686,38478.287,15389.293,461.63,544.107,396.816,302.714,321.322,495.802,426.263,646.758,735.518,408.159,328.127,296.739,360.681,248.397,130.326
            Regions Financial Corp,RF US Equity,Dynamic,,15337,15277,14103,14345,13759,13438.606,13188.591,14668.526,15643.03,15868.339,16845.057,18531.451,22927.569,28953.944,34043.443,35179.639,33246.808,2171.617,1640.476,2028.517,,,,,,,,,,,,
            Truist Financial Corp,TFC US Equity,Dynamic,50149,52497,54008,54620,58507,58056,36497,37388,37373.552,35706.161,29947.672,29978.486,31367.681,32861.379,36464.083,40174.63,36140.508,33797.295,1159.571,1294.623,1279.278,1231.031,1198.293,1032.18,877.627,560.42,532.226,527.939,376.5,348.342,158.655,129.979,75.324
            US Bancorp,USB US Equity,Dynamic,47297,51640,54011,37468,37767,37909,37413,38267,40646,39566,40073,39272,38194,39292,40480,41940,32394,27626,2583,2881,2911,3119,3214,2768,1256.761,1024.273,935.66,1025.741,438.098,394.311,,,
            Wells Fargo & Co,WFC US Equity,Dynamic,125115,137221,141380,134530,128169,128655,131335,140290,146077,137172,125182,124020,125394,126907,127874,135529,138152,55757,4640,4318,4291,3627,3177,3156,3286.47,2860.751,2803.127,1137.092,1092.96,858.494,,,
            Western Alliance Bancorp,WAL US Equity,Dynamic,15932.081,16094.609,14902.398,11195.786,9930.911,9187.761,8356.07,7449.095,6785.437,5268.82,4503.596,3926.359,3296.718,2935.03,2713.342,2647.966,2593.957,2319.774,33.358,25.371,17.314,13.949,4.234,2.342,,,,,,,,,
            Zions Bancorp NA,ZION US Equity,Dynamic,,2990.797,2583.447,2220.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
